| ID | Pregunta                                                               | Documento esperado                        | Tema               | Respuesta esperada                                                                                                    |
| 32 | ¿Puedo asistir acompañado a la consulta?                          | 02_FAQ_Consultas_Turnos.pdf | Acompañantes    | Sí, siempre que las condiciones de atención lo permitan.                                              |
| 33 | ¿Cómo obtengo los resultados de mis exámenes?                     | 02_FAQ_Consultas_Turnos.pdf | Resultados      | Los resultados se entregan por los canales definidos por la clínica o durante la consulta de control. |
| 34 | ¿La clínica atiende pacientes particulares?                       | 02_FAQ_Consultas_Turnos.pdf | Atención        | Sí, además de pacientes con convenios vigentes.                                                       |
| 35 | ¿Cómo puedo comunicarme con la clínica?                           | 02_FAQ_Consultas_Turnos.pdf | Contacto        | A través de los canales oficiales de atención al paciente.                                            |
| 36 | ¿Qué medios existen para solicitar una cita?                      | 02_FAQ_Consultas_Turnos.pdf | Agendamiento    | La solicitud puede realizarse por teléfono, sitio web o de manera presencial.                         |
| 37 | ¿Qué sucede después de reservar una consulta?                     | 02_FAQ_Consultas_Turnos.pdf | Confirmación    | El paciente recibe una confirmación mediante los datos de contacto registrados.                       |
| 38 | ¿Debo llevar una orden médica?                                    | 02_FAQ_Consultas_Turnos.pdf | Documentación   | Sí, cuando la atención o prestación lo requiera.                                                      |
| 39 | ¿Qué sucede si no llevo mi documento de identidad?                | 02_FAQ_Consultas_Turnos.pdf | Documentación   | El documento indica que debe presentarse una identificación vigente para la atención.                 |
| 40 | ¿Puedo modificar una cita ya confirmada?                          | 02_FAQ_Consultas_Turnos.pdf | Reagendamiento  | Sí, siempre que exista disponibilidad y se respeten las políticas de la clínica.                      |
| 41 | ¿Dónde puedo resolver dudas sobre mi turno?                       | 02_FAQ_Consultas_Turnos.pdf | Contacto        | Mediante los canales oficiales de atención de la clínica.                                             |
| 42 | ¿La clínica informa la confirmación de la cita?                   | 02_FAQ_Consultas_Turnos.pdf | Confirmación    | Sí, la confirmación se envía por correo electrónico o teléfono registrado.                            |
| 43 | ¿Cuál es la finalidad del documento de preguntas frecuentes?      | 02_FAQ_Consultas_Turnos.pdf | Objetivo        | Entregar información clara sobre consultas, turnos y procedimientos de atención.                      |
| 44 | ¿Qué tipo de pacientes puede atender la clínica?                  | 02_FAQ_Consultas_Turnos.pdf | Atención        | Atiende pacientes particulares y pacientes con convenios vigentes.                                    |
| 45 | ¿Qué recomienda la clínica para facilitar el proceso de atención? | 02_FAQ_Consultas_Turnos.pdf | Recomendaciones | Llegar con anticipación y presentar toda la documentación requerida.                                  |
| 46 | ¿Cuál es el costo de una consulta médica?                | No encuentro esa información en los documentos disponibles de la clínica. |
| 47 | ¿Qué médicos atienden los fines de semana?               | No encuentro esa información en los documentos disponibles de la clínica. |
| 48 | ¿Cuál es el horario del laboratorio?                     | No encuentro esa información en los documentos disponibles de la clínica. |
| 49 | ¿Dónde se encuentra ubicada la clínica?                  | No encuentro esa información en los documentos disponibles de la clínica. |
| 50 | ¿Cuál es el número telefónico del servicio de urgencias? | No encuentro esa información en los documentos disponibles de la clínica. |
| 51 | ¿Cuál es el objetivo de la política de cancelaciones?               | 03_Politica_Cancelaciones_Reagendamiento.pdf | Objetivo            | Establecer el procedimiento para cancelar o reagendar consultas médicas de forma ordenada. |
| 52 | ¿A quién aplica esta política?                                      | 03_Politica_Cancelaciones_Reagendamiento.pdf | Alcance             | Aplica a todos los pacientes con citas médicas programadas en la clínica.                  |
| 53 | ¿Con cuánta anticipación se recomienda cancelar una consulta?       | 03_Politica_Cancelaciones_Reagendamiento.pdf | Cancelación         | Se recomienda cancelar con al menos 24 horas de anticipación.                              |
| 54 | ¿Por qué canales puedo cancelar una consulta?                       | 03_Politica_Cancelaciones_Reagendamiento.pdf | Cancelación         | La cancelación puede realizarse mediante los canales oficiales de la clínica.              |
| 55 | ¿Puedo reagendar una cita médica?                                   | 03_Politica_Cancelaciones_Reagendamiento.pdf | Reagendamiento      | Sí, las citas pueden reagendarse según la disponibilidad de agenda.                        |
| 56 | ¿De qué depende la nueva fecha de una cita reagendada?              | 03_Politica_Cancelaciones_Reagendamiento.pdf | Reagendamiento      | Depende de la disponibilidad de agenda y de la especialidad médica.                        |
| 57 | ¿Qué ocurre si no asisto a una consulta sin avisar?                 | 03_Politica_Cancelaciones_Reagendamiento.pdf | Inasistencia        | La inasistencia sin aviso puede afectar la prioridad para futuras reservas.                |
| 58 | ¿Qué sucede en situaciones de fuerza mayor?                         | 03_Politica_Cancelaciones_Reagendamiento.pdf | Casos excepcionales | Los casos excepcionales serán evaluados por la clínica.                                    |
| 59 | ¿Qué responsabilidades tiene el paciente respecto a sus citas?      | 03_Politica_Cancelaciones_Reagendamiento.pdf | Responsabilidades   | Mantener actualizados sus datos de contacto y avisar oportunamente cualquier cambio.       |
| 60 | ¿Qué responsabilidades tiene la clínica?                            | 03_Politica_Cancelaciones_Reagendamiento.pdf | Responsabilidades   | Informar cambios de agenda y ofrecer alternativas cuando corresponda.                      |
| 61 | ¿Qué ocurre cuando la clínica modifica una cita?                    | 03_Politica_Cancelaciones_Reagendamiento.pdf | Agenda              | La clínica informará el cambio y ofrecerá alternativas de atención.                        |
| 62 | ¿Cómo solicito un cambio de fecha para mi consulta?                 | 03_Politica_Cancelaciones_Reagendamiento.pdf | Reagendamiento      | Debe solicitarse utilizando los canales oficiales de atención.                             |
| 63 | ¿La política contempla casos excepcionales?                         | 03_Politica_Cancelaciones_Reagendamiento.pdf | Casos especiales    | Sí, las situaciones de fuerza mayor serán evaluadas individualmente.                       |
| 64 | ¿Qué debe hacer el paciente si no puede asistir?                    | 03_Politica_Cancelaciones_Reagendamiento.pdf | Cancelación         | Cancelar o reagendar la cita con la mayor anticipación posible.                            |
| 65 | ¿Qué información debe mantener actualizada el paciente?             | 03_Politica_Cancelaciones_Reagendamiento.pdf | Datos de contacto   | Debe mantener actualizados sus datos de contacto.                                          |
| 66 | ¿Qué canales pueden utilizarse para cancelar o reagendar una cita?  | 03_Politica_Cancelaciones_Reagendamiento.pdf | Contacto            | Teléfono, recepción o plataforma web institucional.                                        |
| 67 | ¿Qué beneficio tiene cancelar una cita con anticipación?            | 03_Politica_Cancelaciones_Reagendamiento.pdf | Buenas prácticas    | Facilita la reorganización de la agenda y la asignación de la hora a otro paciente.        |
| 68 | ¿Qué documento regula el proceso de cancelaciones y reagendamiento? | 03_Politica_Cancelaciones_Reagendamiento.pdf | Documento           | La Política de Cancelaciones y Reagendamiento.                                             |
| 69 | ¿Cuál es la versión del documento?                                  | 03_Politica_Cancelaciones_Reagendamiento.pdf | Control documental  | Versión 1.0.                                                                               |
| 70 | ¿Cuál es la fecha de emisión del documento?                         | 03_Politica_Cancelaciones_Reagendamiento.pdf | Control documental  | Julio de 2026.                                                                             |
| 71 | ¿Cuánto cuesta reagendar una consulta?                  | No encuentro esa información en los documentos disponibles de la clínica. |
| 72 | ¿Existe un límite de cambios de fecha permitidos?       | No encuentro esa información en los documentos disponibles de la clínica. |
| 73 | ¿Qué médicos tienen disponibilidad mañana?              | No encuentro esa información en los documentos disponibles de la clínica. |
| 74 | ¿La clínica abre los domingos?                          | No encuentro esa información en los documentos disponibles de la clínica. |
| 75 | ¿Cuál es el correo electrónico de atención al paciente? | No encuentro esa información en los documentos disponibles de la clínica. |
| 76 | ¿Cuál es el objetivo de la guía de convenios y coberturas?            | 04_Guia_Convenios_Coberturas.pdf | Objetivo           | Orientar a los pacientes sobre los convenios disponibles, la documentación requerida y el proceso de validación de cobertura.                                     |
| 77 | ¿A quién está dirigida esta guía?                                     | 04_Guia_Convenios_Coberturas.pdf | Alcance            | A todos los pacientes que soliciten atención utilizando seguros, convenios o modalidad particular.                                                                |
| 78 | ¿Qué modalidades de atención ofrece la clínica?                       | 04_Guia_Convenios_Coberturas.pdf | Modalidades        | Atención particular, mediante seguro privado y mediante convenios institucionales o empresariales.                                                                |
| 79 | ¿Qué documentación debo presentar para utilizar un convenio?          | 04_Guia_Convenios_Coberturas.pdf | Documentación      | Documento de identidad, credencial del seguro o convenio y orden médica cuando corresponda.                                                                       |
| 80 | ¿Cómo valida la clínica la cobertura médica?                          | 04_Guia_Convenios_Coberturas.pdf | Validación         | Verificando la vigencia del convenio, la cobertura, las autorizaciones necesarias y los copagos aplicables.                                                       |
| 81 | ¿Qué información revisa la clínica antes de la atención?              | 04_Guia_Convenios_Coberturas.pdf | Validación         | Revisa la vigencia del convenio, el estado de afiliación y la cobertura de la prestación solicitada.                                                              |
| 82 | ¿Qué ocurre si la cobertura no puede ser validada?                    | 04_Guia_Convenios_Coberturas.pdf | Validación         | El paciente será informado antes del inicio de la atención.                                                                                                       |
| 83 | ¿Qué prestaciones pueden estar cubiertas por un convenio?             | 04_Guia_Convenios_Coberturas.pdf | Cobertura          | Consultas médicas, consultas con especialistas, exámenes de laboratorio, imagenología, procedimientos ambulatorios y controles médicos, según el plan contratado. |
| 84 | ¿La cobertura es igual para todos los pacientes?                      | 04_Guia_Convenios_Coberturas.pdf | Cobertura          | No. Depende del convenio o plan contratado por cada paciente.                                                                                                     |
| 85 | ¿Qué prestaciones pueden no estar cubiertas?                          | 04_Guia_Convenios_Coberturas.pdf | Exclusiones        | Procedimientos estéticos, medicamentos domiciliarios, exámenes no autorizados y prestaciones fuera de cobertura.                                                  |
| 86 | ¿Qué sucede si una prestación no está cubierta?                       | 04_Guia_Convenios_Coberturas.pdf | Exclusiones        | El paciente deberá asumir el costo correspondiente.                                                                                                               |
| 87 | ¿Qué responsabilidades tiene el paciente respecto a su convenio?      | 04_Guia_Convenios_Coberturas.pdf | Responsabilidades  | Mantener vigente su convenio, presentar la documentación requerida e informarse sobre su cobertura.                                                               |
| 88 | ¿Qué responsabilidades tiene la clínica durante la validación?        | 04_Guia_Convenios_Coberturas.pdf | Responsabilidades  | Verificar la cobertura, informar copagos y orientar al paciente durante el proceso.                                                                               |
| 89 | ¿Qué recomendaciones entrega la guía antes de asistir a una consulta? | 04_Guia_Convenios_Coberturas.pdf | Recomendaciones    | Verificar la vigencia del convenio, confirmar la cobertura y llevar toda la documentación requerida.                                                              |
| 90 | ¿Qué es un copago según esta guía?                                    | 04_Guia_Convenios_Coberturas.pdf | Copagos            | Es el monto que el paciente debe pagar cuando así lo establece su convenio o plan de salud.                                                                       |
| 91 | ¿Quién determina la cobertura definitiva de una prestación?           | 04_Guia_Convenios_Coberturas.pdf | Cobertura          | Las condiciones establecidas por la aseguradora o el convenio vigente.                                                                                            |
| 92 | ¿La clínica atiende pacientes particulares?                           | 04_Guia_Convenios_Coberturas.pdf | Modalidades        | Sí, existe la modalidad de atención particular mediante pago directo.                                                                                             |
| 93 | ¿Cuál es la versión del documento?                                    | 04_Guia_Convenios_Coberturas.pdf | Control documental | Versión 1.0.                                                                                                                                                      |
| 94 | ¿Cuál es la fecha de emisión del documento?                           | 04_Guia_Convenios_Coberturas.pdf | Control documental | Julio de 2026.                                                                                                                                                    |
| 95 | ¿Cuál es el propósito general de esta guía?                           | 04_Guia_Convenios_Coberturas.pdf | Objetivo           | Facilitar la comprensión de los convenios, coberturas y procedimientos administrativos antes de la atención médica.                                               |
|  96 | ¿Cuál es el valor de una consulta con traumatología?   | No encuentro esa información en los documentos disponibles de la clínica. |
|  97 | ¿Qué compañía de seguros ofrece mayor cobertura?       | No encuentro esa información en los documentos disponibles de la clínica. |
|  98 | ¿Qué aseguradoras tienen convenio con la clínica?      | No encuentro esa información en los documentos disponibles de la clínica. |
|  99 | ¿Cuál es el porcentaje exacto de cobertura de mi plan? | No encuentro esa información en los documentos disponibles de la clínica. |
| 100 | ¿Cómo puedo contratar un seguro médico?                | No encuentro esa información en los documentos disponibles de la clínica. |
| 101 | ¿Cuál es el objetivo del documento de instrucciones pre y post consulta? | 05_Instrucciones_Pre_Post_Consulta.pdf | Objetivo               | Entregar recomendaciones antes y después de la consulta para facilitar la atención médica y favorecer la recuperación del paciente.                   |
| 102 | ¿A quién aplican estas instrucciones?                                    | 05_Instrucciones_Pre_Post_Consulta.pdf | Alcance                | A todos los pacientes atendidos en la Clínica Inteligente Horizonte, tanto en consultas presenciales como por telemedicina.                           |
| 103 | ¿Con cuánta anticipación debo llegar a mi consulta?                      | 05_Instrucciones_Pre_Post_Consulta.pdf | Antes de la consulta   | Se recomienda llegar al menos 15 minutos antes de la hora programada.                                                                                 |
| 104 | ¿Qué documentos debo presentar el día de la consulta?                    | 05_Instrucciones_Pre_Post_Consulta.pdf | Documentación          | Documento de identidad, orden médica cuando corresponda y resultados de exámenes relacionados con la atención.                                        |
| 105 | ¿Debo informar los medicamentos que estoy utilizando?                    | 05_Instrucciones_Pre_Post_Consulta.pdf | Información clínica    | Sí, el paciente debe informar los medicamentos que utiliza y las alergias conocidas.                                                                  |
| 106 | ¿Qué debo hacer si no puedo asistir a la consulta?                       | 05_Instrucciones_Pre_Post_Consulta.pdf | Recomendaciones        | Cancelar o reagendar la cita con la mayor anticipación posible.                                                                                       |
| 107 | ¿Qué indicaciones especiales puedo recibir antes de una consulta?        | 05_Instrucciones_Pre_Post_Consulta.pdf | Preparación            | Dependiendo de la atención, puede requerirse ayuno, suspensión temporal de medicamentos o llevar dispositivos médicos personales.                     |
| 108 | ¿Qué debo hacer durante la consulta médica?                              | 05_Instrucciones_Pre_Post_Consulta.pdf | Durante la consulta    | Responder claramente las preguntas del profesional, informar antecedentes médicos y resolver todas las dudas sobre el tratamiento.                    |
| 109 | ¿Qué debo hacer después de la consulta?                                  | 05_Instrucciones_Pre_Post_Consulta.pdf | Después de la consulta | Leer las indicaciones médicas, seguir el tratamiento, tomar los medicamentos según lo indicado y asistir a los controles programados.                 |
| 110 | ¿Debo conservar las recetas y órdenes médicas?                           | 05_Instrucciones_Pre_Post_Consulta.pdf | Documentación          | Sí, se recomienda conservar recetas, órdenes médicas y certificados entregados durante la atención.                                                   |
| 111 | ¿Qué síntomas requieren atención médica inmediata?                       | 05_Instrucciones_Pre_Post_Consulta.pdf | Signos de alerta       | Dificultad para respirar, dolor intenso, sangrado abundante, fiebre alta prolongada, reacciones alérgicas o empeoramiento importante de los síntomas. |
| 112 | ¿Para qué sirven los controles médicos posteriores?                      | 05_Instrucciones_Pre_Post_Consulta.pdf | Controles              | Permiten evaluar la evolución del paciente, revisar exámenes, ajustar tratamientos y otorgar el alta cuando corresponda.                              |
| 113 | ¿Qué derechos tiene el paciente durante la atención?                     | 05_Instrucciones_Pre_Post_Consulta.pdf | Derechos               | Recibir información clara, ser tratado con respeto y mantener la confidencialidad de su información.                                                  |
| 114 | ¿Qué responsabilidades tiene el paciente?                                | 05_Instrucciones_Pre_Post_Consulta.pdf | Responsabilidades      | Entregar información veraz, cumplir las indicaciones médicas y asistir puntualmente a las citas programadas.                                          |
| 115 | ¿Qué debo hacer si mis síntomas empeoran después de la consulta?         | 05_Instrucciones_Pre_Post_Consulta.pdf | Signos de alerta       | Contactar a la clínica o acudir al servicio de urgencias según la gravedad de los síntomas.                                                           |
| 116 | ¿Cómo puedo comunicarme con la clínica después de mi atención?           | 05_Instrucciones_Pre_Post_Consulta.pdf | Contacto               | A través de la recepción, la plataforma web, el correo electrónico o el teléfono de atención al paciente.                                             |
| 117 | ¿Qué información debo entregar al profesional durante la consulta?       | 05_Instrucciones_Pre_Post_Consulta.pdf | Información clínica    | Antecedentes médicos relevantes, síntomas actuales y cualquier información que ayude al diagnóstico.                                                  |
| 118 | ¿Qué recomendaciones existen para prepararse antes de una consulta?      | 05_Instrucciones_Pre_Post_Consulta.pdf | Preparación            | Confirmar la cita, llegar con anticipación, llevar documentación y seguir las indicaciones especiales si fueron entregadas.                           |
| 119 | ¿Cuál es la versión del documento?                                       | 05_Instrucciones_Pre_Post_Consulta.pdf | Control documental     | Versión 1.0.                                                                                                                                          |
| 120 | ¿Cuál es la fecha de emisión del documento?                              | 05_Instrucciones_Pre_Post_Consulta.pdf | Control documental     | Julio de 2026.                                                                                                                                        |
| 121 | ¿Cuánto cuesta una consulta médica?            | No encuentro esa información en los documentos disponibles de la clínica. |
| 122 | ¿Qué especialidades médicas ofrece la clínica? | No encuentro esa información en los documentos disponibles de la clínica. |
| 123 | ¿Cuál es la dirección de la clínica?           | No encuentro esa información en los documentos disponibles de la clínica. |
| 124 | ¿Qué médico me atenderá mañana?                | No encuentro esa información en los documentos disponibles de la clínica. |
| 125 | ¿Cuál es el horario del laboratorio clínico?   | No encuentro esa información en los documentos disponibles de la clínica. |
